IT TERM;TARGET HYPOTHESIS (DE SOUTH TYROL);IT EXAMPLE;Context DE
espromissario;Gläubiger;[L']espromittente si obbliga spontaneamente nei confronti [dell']espromissario ad adempiere il debito [dell']espromesso.;Der vertragliche Schuldbeitritt erfolgt entweder durch Vereinbarung zwischen Gläubiger und Neuschuldner [...] oder als echter Vertrag zugunsten Dritter zwischen Alt- und Neuschuldner.
colpevolezza;Schuld;"La ""colpevolezza"", quale requisito del reato, è categoria dottrinale che non trova riscontro nel codice penale italiano.";
titolo esecutivo;Exekutionstitel;L'esecuzione forzata non può avere luogo che in virtù di un titolo esecutivo per un diritto certo, liquido ed esigibile.;Entscheidungen, die einen Vollstreckungstitel bilden oder die der sofortigen Beschwerde oder der Erinnerung [...] unterliegen, sind zuzustellen.
mediatore;Mäkler;Il mediatore ha diritto alla provvigione da ciascuna delle parti, se l'affare è concluso per effetto del suo intervento.;"Der Auftraggeber [...] kann den Auftrag jederzeit widerrufen, kündigen; er kann auch die Dienste weiterer Makler in Anspruch nehmen oder sich selbst um den Abschluß bemühen. | Aufwendungen sind dem Mäkler nur zu ersetzen, wenn es vereinbart ist. 2Dies gilt auch dann, wenn ein Vertrag nicht zustande kommt."
diritto personalissimo;höchst persönlich Recht;I diritti soggettivi della personalità sono personalissimi in quanto hanno come oggetto un modo di essere della persona.;
società con titoli quotati in borsa;börsennotiert Unternehmen;Per le società con titoli quotati in borsa, vi è l'obbligo imposto dalla Consob della certificazione del bilancio [...].;
esecuzione forzata;Zwangsvollstreckung;L'esecuzione forzata non può avere luogo che in virtù di un titolo esecutivo per un diritto certo, liquido ed esigibile.;Die Zwangsvollstreckung findet statt aus Endurteilen, die rechtskräftig oder für vorläufig vollstreckbar erklärt sind.
diritto reale;Sachenrecht;La destinazione può essere effettuata dal proprietario della cosa principale o da chi ha un diritto reale sulla medesima.;In 30 Jahren verjähren, soweit nicht ein anderes bestimmt ist, [...] Herausgabeansprüche aus Eigentum und anderen dinglichen Rechten, [...]. | Diese [Immobilienkredite] sind durch eine im Grundbuch eingetragene Hypothek oder Grundschuld gesichert, ein sogenanntes Realrecht. | Das Sachenrecht im subjektiven Sinne oder das dingliche Recht gehört [...] in den Bereich der absoluten Rechte, wie sie sich auch in anderen Rechtsgebieten [...] finden.
archivio corrente;laufend Archiv;Lo spostamento degli archivi correnti dello Stato e degli enti ed istituti pubblici non è soggetto ad autorizzazione […].;Bei Privatisierung durch Abstoßung an den Markt werden die Archive der Behörden auch privatisiert, mit Ausnahme der laufenden Archive.
unito civilmente;in eingetragen Partnerschaft;"Nei certificati e negli atti che contengono lo stato civile è possibile scrivere ""unito civilmente"" o ""unita civilmente"".";
procuratore generale;mit allgemein Vollmacht ausgestattet Person;Tale potere si presume conferito al procuratore generale di chi non ha residenza o domicilio nello Stato e all'institore.;
bancarotta fraudolenta;betrügerisch Konkurs;Mentre la bancarotta fraudolenta è punibile esclusivamente a titolo di dolo, quella semplice può essere dolosa o colposa.;Ist der Gemeinschuldner rechtskräftig wegen betrügerischen Bankrotts verurteilt, so leben dadurch ohne weiteres die Forderungen sämtlicher Gläubiger in ihrer ursprünglichen Höhe wieder auf [...].
accordo delle parti;Willenseinigung;"I requisiti del contratto sono: 1) l'accordo delle parti [...]; 2) la causa [...]; 3) l'oggetto [...]; 4) la forma [...].";"[D]ie Annahme [ist] mit dem Antrag zu vergleichen. Sie bringt nämlich [...] den Vertrag nur zustande, wenn sie gegenüber dem Antrag keine Erweiterungen, Einschränkungen oder sonstige Änderungen enthält [...]: Nur dann kommt es ja zu einer Einigung der Parteien, wie sie für den Vertrag nötig ist. Diese Einigung heißt auch Konsens. | Der Vertrag setzt eine Willenseinigung voraus. Diese braucht zwar nicht sämtliche Rechtsfolgen abschließend zu regeln; erforderlich ist aber, daß der wesentliche Inhalt des Vertrages zumindest bestimmbar ist."
legato;Legat;I creditori del defunto possono esercitare la separazione anche rispetto ai beni che formano oggetto di legato di specie.;[I]st dem Ehegatten, der das Gesamtgut nicht verwaltet, eine Erbschaft oder ein Vermächtnis angefallen, so ist nur er berechtigt, die Erbschaft oder das Vermächtnis anzunehmen oder auszuschlagen [...].
Ufficio di Presidenza;Präsidium;Nell'Ufficio di Presidenza devono essere rappresentati tutti i Gruppi parlamentari esistenti all'atto della sua elezione.;Jede Fraktion des Deutschen Bundestages ist durch mindestens einen Vizepräsidenten oder eine Vizepräsidentin im Präsidium vertreten.
debitore principale;Hauptschuldner;Le parti però possono convenire che il fideiussore non sia tenuto a pagare prima dell'escussione del debitore principale.;Da sie [die Bürgschaft] eine Forderung des Gläubigers gegen einen Dritten sichern soll, ist im einem weiteren Sinn auch dieser Dritte an der Bürgschaft beteiligt: er heißt der Hauptschuldner.
evento di danno;Verletzungserfolg;Nei casi di concorso nello stesso evento di danno, ciascuno risponde nei limiti della propria responsabilità individuale.;"Die Verjährung beginnt mit dem Zeitpunkt, mit dem die Verjährung des Schadenersatzanspruchs gegen den ersatzpflichtigen Versichrungsnehmer beginnt; sie endet jedoch spätestens in zehn Jahren von dem Schadensereignis an."
testimone;Zeuge;Il giudice, quando lo ritiene opportuno, nel riportare le dichiarazioni descrive il contegno della parte e del testimone.;Der Zeugenbeweis wird durch die Benennung der Zeugen und die Bezeichnung der Tatsachen, über welche die Vernehmung der Zeugen stattfinden soll, angetreten.
rettificazione;Richtigstellung;Nel caso di altre omissioni o inesattezze, si può ordinare la rettificazione a istanza e a spese della parte interessata.;Offensichtliche Unrichtigkeiten kann der Notar auch nach Abschluß der Niederschrift durch einen von ihm zu unterschreibenden Nachtragsvermerk richtigstellen. Der Nachtragsvermerk ist am Schluß nach den Unterschriften oder auf einem besonderen, mit der Urkunde zu verbindenden Blatt niederzulegen  mit dem Datum der Richtigstellung zu versehen.
firma autografa;eigenhändig Unterschrift;All'atto della richiesta l'imprenditore deve depositare la sua firma autografa e quelle dei suoi institori e procuratori.;Zur Feststellung der Urheberschaft des Erblassers und zur Klarstellung, dass es sich um eine abgeschlossene Erklärung handelt, ist die eigenhändige Unterschrift des Erblassers unbedingt erforderlich.
legato di specie;Stückvermächtnis;I creditori del defunto possono esercitare la separazione anche rispetto ai beni che formano oggetto di legato di specie.;Das Vermächtnis eines bestimmten Gegenstandes ist unwirksam, soweit der Gegenstand zur Zeit des Erbfalls nicht zur Erbschaft gehört. | Ein Stückvermächtnis ist grundsätzlich nur wirksam, wenn der vermachte Gegenstand zur Zeit des Erbfalls zum Vermögen des Erblassers gehört.
mandato di credito;Kreditauftrag;Il mandato di credito assolve ad una funzione di credito o, più esattamente, di preparazione ed agevolazione del credito.;Maßgebend für den Kreditauftrag ist das nach dem übereinstimmenden Willen der Vertragsparteien bestehende eigene Interesse des Auftraggebers an der Gewährung von Geld- oder Warenkredit.
regime patrimoniale della famiglia;Güterstand;Merita anzitutto sottolineare che la riforma del 1975 ha profondamente innovato anche il regime patrimoniale tra coniugi.;
dichiarazione di guerra;Kriegserklärung;La dichiarazione di guerra è un atto dovuto da parte del Presidente e la sostanza di tale atto è determinata dal Governo.;"Mit der Ersetzung des Begriffs der Kriegserklärung durch die ""Feststellung, daß der Verteidigungsfall eingetreten ist"", wurde berücksichtigt, daß nach den neueren geschichtlichen Erfahrungen und den nunmehr geltenden völkerrechtlichen Regeln [...] nicht mehr mit einer förmlichen Kriegserklärung gerechnet werden konnte."
anno civile;Kalenderjahr;La Regione, le Province ed i Comuni hanno un proprio bilancio per l'esercizio finanziario che coincide con l'anno solare.;Die Musikproduktion, zu der sich der Beklagte verpflichtet hatte - also die Aufnahme und Veröffentlichung einer für eine Langspielplatte ausreichenden Zahl von Titeln in jedem Kalenderjahr -, stellt keine Leistung dar, die dem Vertrag hinsichtlich dieser Verpflichtung den Charakter eines absoluten Fixgeschäftes gibt.
avvocato;Rechtsanwalt;L'atto di rinuncia è notificato alle parti costituite o comunicato agli avvocati delle stesse, che vi appongono il visto.;Als RA wird nur zugelassen, wer die Befähigung zum Richteramt erlangen hat.
interpretazione dottrinale;doktrinell Interpretation;L'interpretazione viene detta dottrinale, giurisprudenziale, forense, autentica, ecc. a seconda di chi la pone in essere.;[v. Savigny ] [unterscheidet] zwischen dem Ziel der Interpretation, entweder der Rechtssetzung durch berufene Rechtsorgane (authentische Interpretation) oder zum eigenen Verständnis der Subjizierten oder Rechtswissenschaftler (doktrinelle Interpretation). Diese Unterscheidung spielt hinsichtlich der Wirkung des Interpretationsergebnisses eine Rolle, da das doktrinelle Ergebnis nur Privatinteressen dient und das authentische Ergebnis als formell bindend anzuerkennen ist.
intervento;Parteibeitritt;Agli effetti di cui all'articolo 526 l'intervento non deve avere luogo oltre la prima udienza di comparizione delle parti.;Nach Rücknahme des Beitritts kann der Nebenintervenient auch ohne Einverständnis der Parteien dem Gegner der bisher unterstützen Partei beitreten.
stato di necessità;Notstand;"Lo stato di necessità esclude la colpa dell'agente nella misura in cui reso ""inevitabile"" il compimento dell'atto dannoso.";
autorità di notifica;notifizierend Behörde;L'autorità di notifica assicura che l'esercizio delle sue attività sia improntato a criteri di obiettività e imparzialità.;Die Benennende Behörde ist zuständig für die Einrichtung und Durchführung der erforderlichen Verfahren für die Bewertung, Benennung und anschließende Überwachung Benannter Stellen.
personale di cancelleria;Personal der Gerichtskanzlei;La comunicazione di atti del giudice ad altro giudice si esegue [...] mediante consegna al personale di cancelleria [...].;[Die] Haftung des Anwalts, der nicht jede Tätigkeit selbst ausführen kann, erstreckt sich auch auf Gehilfen, juristische Mitarbeiter und sonstiges Kanzleipersonal.
perizia psicologica;psychologisch Gutachten;Inammissiblie, invece, è la perizia psicologica o cirminologica [...], tranne che sia correlata a cause patologiche [...].;
conseguimento dell'oggetto sociale;Erreichung der Gesellschaftszweck;La società si scioglie [...] per il conseguimento dell'oggetto sociale o per la sopravvenuta impossibilità a raggiungerlo.;
subaffitto;Subpacht;Se il locatore consente il subaffitto, questo è considerato come locazione diretta tra il locatore e il nuovo affittuario.;
pericolo di vita;Lebensgefahr;L'ufficiale dello stato civile dichiara nell'atto di matrimonio il modo con cui ha accertato l'imminente pericolo di vita.;Die Vollstreckung einer Freiheitsstrafe ist aufzuschieben, wenn der Verurteilte in Geisteskrankheit verfällt. Dasselbe gilt bei anderen Krankheiten, wenn von der Vollstreckung eine nahe Lebensgefahr für den Verurteilten zu besorgen ist.
perizia criminologica;kriminologisch Gutachten;Inammissibile, invece, è la perizia psicologica o cirminologica [...], tranne che sia correlata a cause patologiche [...].;
offerta di opzione;Bezugsangebot;L'offerta di opzione deve essere pubblicata nel Bollettino ufficiale delle società per azioni e a responsabilità limitata.;
sentenza cassata;aufgehoben Urteil;Le parti conservano la stessa posizione processuale che avevano nel procedimento in cui fu pronunciata la sentenza cassata.;Wird in einem Wiederaufnahmeverfahren das angefochtene Urteil zugunsten des Beamten aufgehoben, erhält dieser von dem Eintritt der Rechtskraft des aufgehobenen Urteils an die Rechtsstellung, die er erhalten hätte, wenn das aufgehobene Urteil der Entscheidung entsprochen hätte, die im Wiederaufnahmeverfahren ergangen ist. [...]
rimozione del veicolo;abschleppen ein Motorfahrzeug;Avverso la sanzione amministrativa accessoria della rimozione o del blocco del veicolo è ammesso ricorso al prefetto [...].;[D]as Abschleppen des Fahrzeugs des Klägers [war] geeignet und erforderlich, um die Störung der öffentlichen Sicherheit zu beseitigen.
maggioranza assoluta;absolut Stimmenmehrheit;[L'assemblea ordinaria] delibera a maggioranza assoluta, salvo che l'atto costitutivo richieda una maggioranza più elevata.;"Durchweg ist im ersten Wahlgang die absolute Mehrheit erforderlich; wenn kein Kandidat diese Mehrheit erreicht, findet zwei Wochen später entweder eine Stichwahl (zwischen den beiden bestplazierten Kandidaten) oder eine Neuwahl (mit möglicherweise neuen Kandidaten) statt. | Der Präsident wird von der Vollversammlung mit absoluter Stimmenmehrheit der anwesenden Mitglieder gewählt."
vincolo di parentela;Verwandtschaftsband;La legge non riconosce il vincolo di parentela oltre il sesto grado, salvo che per alcuni effetti specialmente determinati.;Mit der Adoption würde das natürliche Verwandtschaftsband zwischen Vater und Sohn rechtlich unwiderruflich zerschnitten. Gegen den Willen des Vaters ist dieser völlige Verlust der verfassungsrechtlich geschützten Vaterstellung (Art. 6 Abs. 2 S. 1 GG) nur in eindeutigen Fällen elterlichen Versagens gerechtfertigt.
colore di contrasto;Kontrastfarbe;[Un] colore di contrasto [è] un colore che si distingue da un colore di sicurezza e trasmette così ulteriori indicazioni[.];Das Warnzeichen deutet auf potentielle Gefahren und mögliche Risiken hin. Bei diesen dreieckigen Piktogrammen muss die Sicherheitsfarbe “signalgelb” mindestens 50% der Gesamtfläche des Zeichens bedecken. Das Symbol muss in schwarzer Kontrastfarbe aufgedruckt werden.
assemblea;Vereinsversammlung;L'assemblea delle associazioni deve essere convocata dagli amministratori una volta l'anno per l'approvazione del bilancio.;Die Mitgliederversammlung ist in den durch die Satzung bestimmten Fällen sowie dann zu berufen, wenn das Interesse des Vereins es erfordert. | Auch ohne Versammlung der Mitglieder ist ein Beschluss gültig, wenn alle Mitglieder ihre Zustimmung zu dem Beschluss schriftlich erklären.
